parent_org,contract_id,marketing_name,org_type,snp,members,forgone_qbp_musd,lead_product,sell_window,priority_tier,measure_profile,addressable_measure_gaps,rationale,gtm_engine_sourced,source_motion,sourced_date
"CareOregon, Inc.",H5859,CareOregon Advantage,Local CCP,Yes,13962,4.6,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.3 / Clin 3.3,"C21 Cust Service (1★), C19 Getting Care (1★), C20 Appts Quickly (1★), C22 Care Quality (2★), C27 Quality Imp (2★) +2 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"LifeBridge Health, Inc.",H9306,Alterwood Advantage,Local CCP,Yes,13103,4.4,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.4 / Clin 3.0,"D05 Drug Plan (2★), C25 Complaints (3★), D02 D Complaints (3★), C20 Appts Quickly (3★), C22 Care Quality (3★) +4 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Elevance,H1607,Anthem Blue Cross and Blue Shield,Local CCP,No,8508,3.0,QO,Now (QO),A - QO now,CS 3.5 / Clin 3.2,"C23 Health Plan (2★), D05 Drug Plan (2★), D06 Getting Rx (2★), C21 Cust Service (3★), C19 Getting Care (3★) +5 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
California Physicians' Service,H5928,Blue Shield of California,Local CCP,No,8167,2.9,QO,Now (QO),A - QO now,CS 3.4 / Clin 3.4,"C19 Getting Care (1★), C21 Cust Service (2★), C23 Health Plan (2★), C27 Quality Imp (2★), D04 D Quality Imp (3★) +1 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
Centene,H1914,Wellcare,Local CCP,Yes,12143,4.0,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.2 / Clin 3.0,"C21 Cust Service (1★), C23 Health Plan (1★), D05 Drug Plan (1★), C26 Disenroll (2★), D03 D Disenroll (2★) +3 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"BMC Health System, Inc.",H9585,WellSense Health Plan,Local CCP,Yes,12000,4.0,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.3 / Clin 3.9,"C19 Getting Care (2★), C20 Appts Quickly (2★), D06 Getting Rx (2★), C21 Cust Service (3★), C30 FL/TTY (3★) +5 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Ochsner Clinic Foundation,H9763,Ochsner Health Plan,Local CCP,Yes,12000,4.0,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.5 / Clin 3.5,"D04 D Quality Imp (1★), C20 Appts Quickly (2★), C30 FL/TTY (3★), D01 D FL/TTY (3★), C19 Getting Care (3★) +2 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Aware Integrated, Inc.",H2425,Blue Plus,Local CCP,Yes,11563,3.8,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.7 / Clin 3.5,"D04 D Quality Imp (2★), D06 Getting Rx (2★), C21 Cust Service (3★), C19 Getting Care (3★), C20 Appts Quickly (3★) +2 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
CVS / Aetna,H2056,Aetna Medicare,Local CCP,No,7272,2.6,QO,Now (QO),A - QO now,CS 3.3 / Clin 3.0,"C20 Appts Quickly (1★), C21 Cust Service (2★), C19 Getting Care (2★), D05 Drug Plan (2★), C22 Care Quality (3★) +5 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
Banner Health,H4931,Banner Medicare Advantage,Local CCP,Yes,10955,3.6,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.4 / Clin 3.0,"C21 Cust Service (1★), C24 Care Coord (2★), C29 Appeals Upheld (3★), C19 Getting Care (3★), C20 Appts Quickly (3★) +3 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Molina,H2224,Senior Whole Health,Local CCP,Yes,10836,3.6,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.7 / Clin 3.7,"C21 Cust Service (1★), C19 Getting Care (2★), C22 Care Quality (2★), D06 Getting Rx (2★), C20 Appts Quickly (3★) +3 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Banner Health,H5843,Banner Medicare Advantage,Local CCP,No,6977,2.4,QO,Now (QO),A - QO now,CS 3.6 / Clin 3.1,"C24 Care Coord (1★), C19 Getting Care (2★), C21 Cust Service (3★), C29 Appeals Upheld (3★), C20 Appts Quickly (3★) +1 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
Guidewell Mutual Holding Corporation,H4005,Triple-S Advantage,Local CCP,No,6676,2.3,QO,Now (QO),A - QO now,CS 3.7 / Clin 3.5,"C19 Getting Care (1★), C21 Cust Service (2★), D04 D Quality Imp (2★), C20 Appts Quickly (3★), C24 Care Coord (3★) +1 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
"Fallon Community Health Plan, Inc.",H8928,Fallon Health,Local CCP,Yes,9927,3.3,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.7 / Clin 3.9,"C24 Care Coord (1★), C21 Cust Service (3★), C29 Appeals Upheld (3★), C30 FL/TTY (3★), C19 Getting Care (3★) +5 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Devoted Health, Inc.",H3080,Devoted Health,Local CCP,Yes,9657,3.2,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.1 / Clin 3.7,"C24 Care Coord (1★), C20 Appts Quickly (2★), C26 Disenroll (2★), D03 D Disenroll (2★), C25 Complaints (3★) +3 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
SCAN Group,H1822,SCAN Health Plan,Local CCP,Yes,9248,3.1,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.1 / Clin 3.7,"C19 Getting Care (1★), C23 Health Plan (1★), C21 Cust Service (2★), C26 Disenroll (2★), D03 D Disenroll (2★) +3 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Alignment Healthcare USA, LLC",H3443,Alignment Health Plan,Local CCP,Yes,9056,3.0,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.1 / Clin 4.5,"C19 Getting Care (1★), C24 Care Coord (1★), C20 Appts Quickly (2★), D06 Getting Rx (2★), C21 Cust Service (3★) +8 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
CVS / Aetna,H4711,Aetna Medicare,Local CCP,Yes,8582,2.8,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.3 / Clin 3.0,"C19 Getting Care (1★), C26 Disenroll (2★), D03 D Disenroll (2★), C21 Cust Service (3★), C28 Appeals Timely (3★) +4 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Centene,H0712,Wellcare,Local CCP,Yes,7571,2.5,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.5 / Clin 3.2,"C23 Health Plan (2★), C26 Disenroll (2★), D03 D Disenroll (2★), C21 Cust Service (3★), C28 Appeals Timely (3★) +4 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Baystate Health, Inc.",H2737,Health New England Medicare Advantage Plans,Local CCP,No,4854,1.7,QO,Now (QO),A - QO now,CS 3.6 / Clin 3.6,"C20 Appts Quickly (1★), C19 Getting Care (2★), C22 Care Quality (2★), D05 Drug Plan (2★), D01 D FL/TTY (3★) +3 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
Humana,H2486,Humana,Local CCP,No,4301,1.5,QO,Now (QO),A - QO now,CS 3.4 / Clin 3.2,"C19 Getting Care (2★), C21 Cust Service (3★), C29 Appeals Upheld (3★), C22 Care Quality (3★), C23 Health Plan (3★) +4 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
"Clover Health Holdings, Inc.",H8010,Clover Health,Local CCP,No,3632,1.3,QO,Now (QO),A - QO now,CS 3.1 / Clin 3.8,"C21 Cust Service (1★), C19 Getting Care (2★), C22 Care Quality (2★), D05 Drug Plan (2★), D06 Getting Rx (2★) +5 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
"Centers Plan for Healthy Living, LLC",H6988,Centers Plan for Healthy Living,Local CCP,Yes,5464,1.8,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.0 / Clin 4.4,"C26 Disenroll (2★), D03 D Disenroll (2★), D04 D Quality Imp (2★), D05 Drug Plan (2★), D06 Getting Rx (2★) +8 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Devoted Health, Inc.",H9884,Devoted Health,Local CCP,No,3531,1.2,QO,Now (QO),A - QO now,CS 3.1 / Clin 3.9,"C19 Getting Care (2★), C22 Care Quality (2★), C24 Care Coord (2★), C26 Disenroll (2★), D03 D Disenroll (2★) +3 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
SCAN Group,H0978,SCAN Health Plan,Local CCP,Yes,5207,1.7,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.1 / Clin 4.0,"C19 Getting Care (1★), C20 Appts Quickly (1★), C22 Care Quality (1★), C24 Care Coord (1★), C21 Cust Service (2★) +5 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Denver Health and Hospital Authority,H5608,Elevate Medicare Advantage,Local CCP,Yes,5091,1.7,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.4 / Clin 3.7,"C20 Appts Quickly (1★), C23 Health Plan (2★), C21 Cust Service (3★), C30 FL/TTY (3★), D01 D FL/TTY (3★) +3 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Devoted Health, Inc.",H6545,Devoted Health,Local CCP,No,2593,0.9,QO,Now (QO),A - QO now,CS 3.1 / Clin 4.4,"C19 Getting Care (2★), C24 Care Coord (2★), C26 Disenroll (2★), D03 D Disenroll (2★), D06 Getting Rx (2★) +3 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
"Point32Health, Inc.",H9907,Tufts Health Plan,Local CCP,No,1958,0.7,QO,Now (QO),A - QO now,CS 3.4 / Clin 3.5,"D05 Drug Plan (2★), C21 Cust Service (3★), C29 Appeals Upheld (3★), C19 Getting Care (3★), C20 Appts Quickly (3★) +4 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
UnitedHealth,H1360,UnitedHealthcare,Local CCP,Yes,2653,0.9,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.3 / Clin 3.3,"C21 Cust Service (1★), C19 Getting Care (2★), D04 D Quality Imp (2★), C25 Complaints (3★), D02 D Complaints (3★) +5 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Molina,H5209,My Choice Wisconsin,Local CCP,Yes,2555,0.8,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.1 / Clin 3.3,"C23 Health Plan (1★), C19 Getting Care (2★), C22 Care Quality (2★), D05 Drug Plan (2★), D06 Getting Rx (2★) +6 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
HCSC,H8547,Blue Cross and Blue Shield of Illinois,Local CCP,No,1577,0.6,QO,Now (QO),A - QO now,CS 3.7 / Clin 3.7,"D05 Drug Plan (2★), C21 Cust Service (3★), C19 Getting Care (3★), C23 Health Plan (3★), C26 Disenroll (3★) +2 more",Lead with QO for C32/D01 secret-shopper measures (binary pass-fail; one half-star to full QBP). Pair with Coaching for accuracy half of the same measure. BOO as second product.,TRUE,star_ratings_cliff_edge,2026-07-06
"EmblemHealth, Inc.",H5991,EmblemHealth,Local CCP,Yes,2332,0.8,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.2 / Clin 3.0,"C26 Disenroll (1★), D03 D Disenroll (1★), C25 Complaints (3★), D02 D Complaints (3★)","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Rifkin Managed Care Holding, LLC",H9191,Provider Partners Health Plans,Local CCP,Yes,1359,0.5,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.4 / Clin 3.5,"C28 Appeals Timely (1★), C29 Appeals Upheld (1★), C30 FL/TTY (3★), D01 D FL/TTY (3★), C27 Quality Imp (3★) +1 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
CVS / Aetna,H8649,Aetna Medicare,Local CCP,Yes,1331,0.4,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.6 / Clin 3.2,"D05 Drug Plan (2★), C21 Cust Service (3★), C20 Appts Quickly (3★), C22 Care Quality (3★), C23 Health Plan (3★) +5 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Rifkin Managed Care Holding, LLC",H3800,Provider Partners Health Plans,Local CCP,Yes,1207,0.4,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.7 / Clin 3.2,"C29 Appeals Upheld (1★), C28 Appeals Timely (2★), C30 FL/TTY (3★), D01 D FL/TTY (3★)","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
Humana,H2237,iCare,Local CCP,Yes,898,0.3,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.6 / Clin 3.1,"D06 Getting Rx (2★), C21 Cust Service (3★), C29 Appeals Upheld (3★), C19 Getting Care (3★), C20 Appts Quickly (3★) +4 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
"Longevity Health Founders, LLC",H1644,Longevity Health Plan,Local CCP,Yes,898,0.3,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.4 / Clin 3.4,"C28 Appeals Timely (1★), C29 Appeals Upheld (3★), C30 FL/TTY (3★)","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
AIDS Healthcare Foundation,H5852,AHF,Local CCP,Yes,607,0.2,BOO,At BOO GA (Sep 2026),C - BOO,CS 3.5 / Clin 3.2,"C21 Cust Service (2★), D04 D Quality Imp (2★), C30 FL/TTY (3★), C19 Getting Care (3★), C20 Appts Quickly (3★) +2 more","SNP contract: complex back office (LTSS coordination, dual-eligible workflows, redetermination cycles). BOO drives C26 Care Coordination CAHPS and C30/D02 Appeals Timeliness simultaneously. Add Coachi",TRUE,star_ratings_cliff_edge,2026-07-06
