"id","run_date","action","owner","due","due_basis","source_type","source_ref","source_date","evidence","confidence","status"
"pmo-2026-09-03-002","2026-09-03","Set up OKRs covering current initiatives and complete the related check-ins.","Dallas","2026-09-08","inferred","otter","AI GTM Orchestration and Demo Planning Ad3FhfPMQQyzVNqwLBg_RTh31Q4","2026-09-02","Don't don't do it right now. Do it next week after after after after after you're done with like all this stuff","medium","new"
"pmo-2026-09-03-003","2026-09-03","Send Dallas his own completed OKRs as a reference so Dallas can suggest changes.","Naveen","none stated","none","otter","AI GTM Orchestration and Demo Planning Ad3FhfPMQQyzVNqwLBg_RTh31Q4","2026-09-02","I just set up my own OKRs. I have a send me yours. I have, yeah. I'll send it to you.","high","new"
"pmo-2026-09-03-004","2026-09-03","Review Dallas's Lemlist setup and the nine active campaigns and share marketing context in a 15-minute huddle before tomorrow's meeting with John.","Naveen","2026-09-03","inferred","otter","AI GTM Orchestration and Demo Planning Ad3FhfPMQQyzVNqwLBg_RTh31Q4","2026-09-02","I'll take a look at Lemlist and what you have... so let's like huddle for like 15 minutes tomorrow.","medium","new"
"pmo-2026-09-03-005","2026-09-03","Send built prototypes to product managers for testing against their goals.","Dallas","none stated","none","otter","AI Enablement and GTM Strategy Sync rI7V1Ju5sUOCfMGNkgtmXydgFck","2026-09-02","I actually have to like send them prototypes I've built, let them actually do something with it, right?","high","new"
"pmo-2026-09-03-006","2026-09-03","Present to the AI channel about the AI enablement initiative.","Tyler","2026-09-04","explicit","otter","AI Enablement and GTM Strategy Sync rI7V1Ju5sUOCfMGNkgtmXydgFck","2026-09-02","I'm gonna talk a little bit this Friday to the AI channel.","medium","new"
"pmo-2026-09-04-001","2026-09-04","Map Lemlist activity and metrics into Pipeline Council reporting once the integration is complete.","Genna","none stated","none","otter","GTM Engineering and Marketing Alignment -FvsgoGdqrxh9CmkrVQouVhDt2s","2026-09-03","I think we probably need about till like next month's pipeline council, and then I think we'll have at least some numbers around all that","high","new"
"pmo-2026-09-04-002","2026-09-04","Send the approved back-office cadence email copy to Dallas and Naveen once it clears review.","Sierra","none stated","none","otter","GTM Engineering and Marketing Alignment -FvsgoGdqrxh9CmkrVQouVhDt2s","2026-09-03","I'll send you over the coffee Dallas and Navin as soon as it's approved.","high","new"
"pmo-2026-09-04-003","2026-09-04","Assess the current Six Sense branded and generic intent terms and use go-to-market campaign learnings as a continuous feedback loop.","Sierra","none stated","none","otter","GTM Engineering and Marketing Alignment -FvsgoGdqrxh9CmkrVQouVhDt2s","2026-09-03","we recently updated it with what was in the DMG report, but this is definitely a source of information that we should use as a continuous feedback loop.","low","new"
"pmo-2026-09-04-004","2026-09-04","Keep the recurring GTM engineering, sales, and marketing alignment meeting running so the teams can review campaigns together.","John Norton","none stated","none","otter","GTM Engineering and Marketing Alignment -FvsgoGdqrxh9CmkrVQouVhDt2s","2026-09-03","we'll keep it running, and then you guys can take it from there.","medium","new"
"pmo-2026-09-04-005","2026-09-04","Message Sierra to ask her to create email accounts for Jack and Nate on the chosen Intradiem sending domain.","Dallas","none stated","none","otter","Lemlist Setup and Messaging Strategy G-M9_ktaSw-RmSJv4jgkf51_-fk","2026-09-03","Okay, cool. Well, I'll I'll message her and ask if she can create emails for for Jack and Nate.","high","new"
"pmo-2026-09-04-006","2026-09-04","Connect the assigned second sending domain in Lemlist using the login credentials Dallas provided.","Jack","none stated","none","otter","Lemlist Setup and Messaging Strategy G-M9_ktaSw-RmSJv4jgkf51_-fk","2026-09-03","Cool. Okay, I'll do that after.","medium","new"
"pmo-2026-09-04-007","2026-09-04","Set up a one-hour messaging working session with marketing and sales stakeholders to refine back-office campaign messaging.","Naveen","none stated","none","otter","Lemlist Setup and Messaging Strategy G-M9_ktaSw-RmSJv4jgkf51_-fk","2026-09-03","What I'm going to do is set up a one hour working session with the right people.","high","new"
"pmo-2026-09-04-008","2026-09-04","Give Dallas a comprehensive messaging document covering what works, what doesn't, message structure, and strategy-specific context.","Naveen","2026-09-05","inferred","otter","Lemlist Setup and Messaging Strategy G-M9_ktaSw-RmSJv4jgkf51_-fk","2026-09-03","I will try and give you that document as soon as possible, Dallas. Like maybe in the next couple of days, so that will feed directly into your.","medium","new"
"pmo-2026-09-04-009","2026-09-04","Dig out what has worked for the front office and send it over so Dallas can use it for the US campaigns.","Jack","none stated","none","otter","Lemlist Setup and Messaging Strategy G-M9_ktaSw-RmSJv4jgkf51_-fk","2026-09-03","if I can dig all of that out and send that over, it's probably worth replicating.","medium","new"
"pmo-2026-09-04-010","2026-09-04","Follow up by end of week with a proposed timeline for the integrated back-office campaign covering the lander, 6sense ads, LinkedIn ads, GTM and sales outreach, and social posts.","Sierra","2026-09-04","inferred","email","FW: Back Office Integrated Campaign: outbound messaging for review, Sierra Jones","2026-09-03","We confirmed with Syrup that LinkedIn ads will need ~3 weeks ramp time. I'll follow up by EOW with a proposed timeline for the integrated campaign","medium","new"
"pmo-2026-09-07-001","2026-09-07","Get the all-hands breakout-session facilitator feedback and scheduling finalized by early next week.","Jen","2026-09-08","inferred","otter","AI and Automation Progress Update 1XCanPY6MHwzlPJ1rN4_Kq0tf2w","2026-09-04","But probably early next week, if you do not want to participate, then we'll get everything organized.","medium","new"
"pmo-2026-09-07-002","2026-09-07","Resolve the savings-dashboard bugs and present it on next Thursday's operations execution call.","Matt Graves","2026-09-10","inferred","otter","AI and Automation Progress Update 1XCanPY6MHwzlPJ1rN4_Kq0tf2w","2026-09-04","Jen, Amy asked me to share that on the ops execution call next Thursday.","medium","new"
"pmo-2026-09-07-003","2026-09-07","Update Monday.com to consolidate the post-maintenance validation automation phases and push the target date to Q4.","Grey Stepp","none stated","none","otter","AI and Automation Progress Update 1XCanPY6MHwzlPJ1rN4_Kq0tf2w","2026-09-04","Okay, that sounds good. I'll I'll do that. Thank you.","high","new"
"pmo-2026-09-07-004","2026-09-07","Finish baselining the AI adoption metrics for engineering.","Krishnan Ayyappan","2026-09-30","inferred","otter","AI and Automation Progress Update 1XCanPY6MHwzlPJ1rN4_Kq0tf2w","2026-09-04","the deadline for that goal is end of this month.","medium","new"
"pmo-2026-09-07-005","2026-09-07","Run the P&L leader-deck packages with the August year-to-date results before all hands next week.","Michael Adesso","2026-09-08","inferred","otter","AI and Automation Progress Update 1XCanPY6MHwzlPJ1rN4_Kq0tf2w","2026-09-04","We're going to run it, or excuse me, next week before all hands to make sure that the packages are running well with the August year-to-date results.","medium","new"
"pmo-2026-09-07-006","2026-09-07","Finish fine-tuning the P&L leader-deck packages and move them into production by the end of the month.","Michael Adesso","2026-09-30","inferred","otter","AI and Automation Progress Update 1XCanPY6MHwzlPJ1rN4_Kq0tf2w","2026-09-04","which we should definitely have complete by the end of the month.","medium","new"
"pmo-2026-09-07-007","2026-09-07","Get the people-team agent live in time for open enrollment at the end of October.","Sarah Wishnick","2026-10-31","inferred","otter","AI and Automation Progress Update 1XCanPY6MHwzlPJ1rN4_Kq0tf2w","2026-09-04","really excited to have this live specifically for open enrollment at the end of October.","medium","new"
"pmo-2026-09-07-008","2026-09-07","Decide between Make and Zapier and land the automation-tool purchase by the end of next week.","Jason Dowden","2026-09-11","inferred","otter","AI and Automation Progress Update 1XCanPY6MHwzlPJ1rN4_Kq0tf2w","2026-09-04","I plan to land the plane by the end of next week.","medium","new"
"pmo-2026-09-07-009","2026-09-07","Confirm AI-agent adoption among the remaining engineering team members and close out the adoption goal.","Krishnan Ayyappan","none stated","none","otter","AI and Automation Progress Update 1XCanPY6MHwzlPJ1rN4_Kq0tf2w","2026-09-04","once I am able to confirm with few more team members, this goal can be called complete.","low","new"
"pmo-2026-09-07-010","2026-09-07","Discuss with Jason what access is needed to extend Claude and Slack MCP capabilities for DevOps use.","Vadim Prudnichenko","none stated","none","otter","AI and Automation Progress Update 1XCanPY6MHwzlPJ1rN4_Kq0tf2w","2026-09-04","something that I'd like to discuss offline with Jason probably to get an access to it.","low","new"
"pmo-2026-09-07-011","2026-09-07","Document the learnings from the completed signal-based outreach campaigns and turn them into reusable playbooks.","Jack Ohagan","none stated","none","otter","AI and Automation Progress Update 1XCanPY6MHwzlPJ1rN4_Kq0tf2w","2026-09-04","I'm just going to store sort of what I've learned from that.","low","new"
"pmo-2026-09-07-012","2026-09-07","Book flights and complete the registration/RSVP form for the Product Team offsite in Washington DC.","Dallas","2026-09-18","explicit","email","Product team offsite, Savita Mahesh","2026-09-04","Please book your flights ASAP, and fill out the registration/RSVP form here by Sep 18 for your hotel room and details.","high","new"
"pmo-2026-09-09-001","2026-09-09","Buy the second sending domain and warm up its email accounts once the marketing/Tom approval clears.","Dallas","none stated","none","otter","All Hands Prep and UPT Strategy XH4p-1NgF2_uON6cJkRIY_LS2tQ","2026-09-08","That's the only thing stopping us from buying the second domain. Then I can warm up the second emails.","high","new"
"pmo-2026-09-09-002","2026-09-09","Prepare target-company lists for organizations using Verint DPA and Nice DAA (front office and back office, with DWO contacts) and draft the corresponding attack-strategy sequences before Thursday's meeting with John.","Dallas","2026-09-10","inferred","otter","All Hands Prep and UPT Strategy XH4p-1NgF2_uON6cJkRIY_LS2tQ","2026-09-08","It'll be great if you can think about... what the list is going to look like? What sequences you would recommend? And if we can have some work done before that meeting.","medium","new"
"pmo-2026-09-09-003","2026-09-09","Go through the Lemlist campaigns and sequence previews, fix the messaging, and send Dallas feedback and revised guidance.","Naveen","2026-09-09","inferred","otter","All Hands Prep and UPT Strategy XH4p-1NgF2_uON6cJkRIY_LS2tQ","2026-09-08","I'll go through this fully. Spend some time this evening and expect to have something from me tomorrow.","medium","new"
"pmo-2026-09-09-004","2026-09-09","Give Dallas the final sign-off on the All Hands presentation video.","Naveen","none stated","none","otter","All Hands Prep and UPT Strategy XH4p-1NgF2_uON6cJkRIY_LS2tQ","2026-09-08","I'll give you the final sign-off on the video too. Let me just go through it once after waking up.","high","new"
"pmo-2026-09-09-005","2026-09-09","Book the Clay conference hotel room through the shared hotel link (not through Concur).","Genna","2026-09-08","explicit","otter","Pipeline Reporting and Intent Data Strategy SAEBLuEq0LX1XfNXxRQk3LbrqhY","2026-09-08","I'll book it today.","high","new"
"pmo-2026-09-09-006","2026-09-09","Book the Clay conference hotel room through the shared hotel link, same as Genna.","Carter","2026-09-08","inferred","otter","Pipeline Reporting and Intent Data Strategy SAEBLuEq0LX1XfNXxRQk3LbrqhY","2026-09-08","Yeah. Same.","low","new"
"pmo-2026-09-09-007","2026-09-09","Confirm whether the Six Sense technology-used field can be mapped between systems for campaign targeting.","Sierra Jones","none stated","none","otter","Pipeline Reporting and Intent Data Strategy SAEBLuEq0LX1XfNXxRQk3LbrqhY","2026-09-08","So I'll confirm how that works.","high","new"
"pmo-2026-09-09-008","2026-09-09","Point the messaging guidance to the maintained customer-story spreadsheet instead of duplicating entries, so it stays current.","Sierra Jones","none stated","none","otter","Pipeline Reporting and Intent Data Strategy SAEBLuEq0LX1XfNXxRQk3LbrqhY","2026-09-08","Do you want me to pull out ones or just point to that document so we can keep it up to date.","medium","new"
"pmo-2026-09-09-009","2026-09-09","Get back to Naveen with Carter on the Six Sense keyword-intent-to-campaign-timing experimentation.","Dallas","none stated","none","otter","Pipeline Reporting and Intent Data Strategy SAEBLuEq0LX1XfNXxRQk3LbrqhY","2026-09-08","We'll get back to you on the experimentation on intent signals and clay, etc.","high","new"
"pmo-2026-09-09-010","2026-09-09","Confirm the exact number of Clay credits consumed and the corresponding spend amount.","Dallas","none stated","none","otter","Pipeline Reporting and Intent Data Strategy SAEBLuEq0LX1XfNXxRQk3LbrqhY","2026-09-08","Get the exact number one. It's something around there.","low","new"
"pmo-2026-09-09-011","2026-09-09","Try to get access to Clay so the keyword-intent campaign-triggering approach can be evaluated.","Carter","none stated","none","otter","Pipeline Reporting and Intent Data Strategy SAEBLuEq0LX1XfNXxRQk3LbrqhY","2026-09-08","I'll try to get access.","medium","new"
"pmo-2026-09-10-001","2026-09-10","Build and validate org maps and target-contact lists for Bell Canada, Bank of Montreal, Telus, and Canada Life, focused on back-office stakeholders with no overlap against existing Salesforce contacts.","Dallas","none stated","none","otter","GTM Engineering and Sales Automation Sync nuYxKpBq2snvYNwvjXLjKZYa1Ts","2026-09-09","I will get going on those accounts that you sent","high","new"
"pmo-2026-09-10-002","2026-09-10","Join a review meeting with JW and Nate to walk through the account-map findings and define outreach sequences for the four Canadian accounts.","Dallas","none stated","none","otter","GTM Engineering and Sales Automation Sync nuYxKpBq2snvYNwvjXLjKZYa1Ts","2026-09-09","you, I, and Nate have a conversation, so like we can go through this and kind of consume it together as a team.","high","new"
"pmo-2026-09-10-003","2026-09-10","Pick six target accounts from the regular Nate touch-base and send them to Dallas for account mapping.","JW","none stated","none","otter","GTM Engineering and Sales Automation Sync nuYxKpBq2snvYNwvjXLjKZYa1Ts","2026-09-09","I'll come up with six good ones that we want to go after, and then and see what you can pull together for this.","high","new"
"pmo-2026-09-10-004","2026-09-10","Incorporate the reviewed back-office messaging into the back office multichannel campaigns before formally launching, and provide input on how message iteration works to help answer Melissa's question.","Dallas","none stated","none","email","Re: Back Office Integrated Campaign: outbound messaging for review / Naveen Thilagan","2026-09-09","can we have this messaging incorporated into our back office multichannel campaigns before we formally launch?","high","new"
"pmo-2026-09-10-005","2026-09-10","Ensure back-office campaign email copy never names a current customer account, starting with Optum and McKesson.","unassigned","none stated","none","email","FW: Back Office Integrated Campaign: outbound messaging for review / Sierra Jones","2026-09-09","Where customers are named, we will need to address in the strategy to ensure those customers do not receive email copy with their account name mentioned (Optum, McKesson).","low","new"
"pmo-2026-09-10-006","2026-09-10","Confirm whether Sierra should build MAP custom-redirect tracked links for the back-office campaign CTAs or if lemlist already handles that tracking.","Dallas","none stated","none","email","Re: Back Office Integrated Campaign: outbound messaging for review / Sierra Jones","2026-09-09","Would this be helpful for the sequences, or is tracking handled in lemlist already?","high","new"
"pmo-2026-09-11-001","2026-09-11","Validate email addresses, locate relevant contacts, and determine where the additional contacts fit in the relationship map and outreach campaigns for churn-risk accounts.","Dallas","none stated","none","otter","Churn Risk Account Strategy Meeting PS3CXyOFDN_7RiItuawdtUhFJxE","2026-09-10","I could definitely help automate the clerical stuff as far as validating emails and locating people.","high","new"
"pmo-2026-09-11-002","2026-09-11","Build an account-health tracking approach using red, yellow, and green status indicators, including the changes and context behind each status.","Dallas","none stated","none","otter","Churn Risk Account Strategy Meeting PS3CXyOFDN_7RiItuawdtUhFJxE","2026-09-10","that's something that I'll start building towards and working towards for sure.","high","new"
"pmo-2026-09-11-003","2026-09-11","Set up a brainstorming meeting on the Cleveland Clinic churn-mitigation plan with Clint, Nicole, and other account leadership.","Inger Escamilla","none stated","none","otter","Churn Risk Account Strategy Meeting PS3CXyOFDN_7RiItuawdtUhFJxE","2026-09-10","I'll probably include you on the meeting that I set up to do a brainstorming session on what we can do for Cleveland Clinic with Clint and Nicole and other members of the leadership.","medium","new"
"pmo-2026-09-11-004","2026-09-11","Send Dallas the Cleveland Clinic contact and account documents for review and incorporation into the churn-risk tracking work.","Inger Escamilla","none stated","none","otter","Churn Risk Account Strategy Meeting PS3CXyOFDN_7RiItuawdtUhFJxE","2026-09-10","Send it over my way, like documents, contacts, etc. Even if it's random, just send it to me.","medium","new"
"pmo-2026-09-11-005","2026-09-11","Refine the Nice and Verint prospect list by building organizational maps, identifying back-office director-level contacts, and validating the account and contact data.","Dallas","none stated","none","otter","UPT Competitive Campaign Strategy wIOMZ0PB_sU65z_YTCZ0SwBIfD8","2026-09-10","building more of those org chart maps to really take this to the next step, visualize who we need to reach out to, then validate that. That's the next step for me.","high","new"
"pmo-2026-09-11-006","2026-09-11","Determine whether the data can segment Nice and Verint customers by on-premises versus hosted deployment and identify which customers pay for desktop analytics versus get it free.","Dallas","none stated","none","otter","UPT Competitive Campaign Strategy wIOMZ0PB_sU65z_YTCZ0SwBIfD8","2026-09-10","I'll definitely look into it after the call and see just how granular we can get with it.","high","new"
"pmo-2026-09-11-007","2026-09-11","Prioritize the UPT competitive campaign timing and identify the marketing assets needed to launch it.","Naveen","none stated","none","otter","UPT Competitive Campaign Strategy wIOMZ0PB_sU65z_YTCZ0SwBIfD8","2026-09-10","it comes to Naveen and Dallas to the every two week group and prioritize when we do this and get the marketing assets you need to run the campaign.","high","new"
"pmo-2026-09-11-008","2026-09-11","Bring the targeted desktop analytics campaign forward and lead the brainstorm on campaign content and messaging.","John Norton","none stated","none","otter","UPT Competitive Campaign Strategy wIOMZ0PB_sU65z_YTCZ0SwBIfD8","2026-09-10","let's brainstorm the content and messaging at that next meeting.","medium","new"
"pmo-2026-09-11-009","2026-09-11","Verify the number of remaining Nice users at UHG using the account notes and recorded figures.","Mary Ann Chandler","none stated","none","otter","UPT Competitive Campaign Strategy wIOMZ0PB_sU65z_YTCZ0SwBIfD8","2026-09-10","nice still has, I want to say they told me, I'll have to look at the number, another 40,000 users... I'll look at my numbers and see what I wrote down.","high","new"
"pmo-2026-09-11-010","2026-09-11","Send Jason Dowden the phonetic spelling of your name, an answer to one of his ten icebreaker questions, and the tool you're demoing at All Hands.","Dallas","2026-09-14","explicit","email","Quick Ask for All Hands / Jason Dowden","2026-09-10","If you could send back to just me before noon on Monday (or sooner) that would be great!","high","new"
"pmo-2026-09-11-011","2026-09-11","Review the All Hands Breakout Groups facilitator document before the cross-functional breakout prep session.","Dallas","2026-09-15","inferred","calendar","Onsite Prep- Cross functional Breakout Groups (4:30pm PST) / Chelsea Atkinson","2026-09-10","please review the attached document to get a feel for what your facilitator role will be. We will review the worksheets during our prep.","medium","new"
