account,domain,seat,name,title,linkedin_url,country,start_date,wave_number,wave_status,status,opener_line,contract_line,vm_hook,voice_script,critic_verdict,prompt_version
easyJet (holidays arm),easyjet.com,COO/Ops Dir,Matt Callaghan,Chief Operating Officer,https://www.linkedin.com/in/matt-callaghan-86496324/,United Kingdom,2024-01-01,1,drafted,NOT LOADED - pending DNC gate,"On a package holiday one late aircraft is never one problem, it's a transfer, a hotel night and the first day of someone's only week off, all before the 220 pound per passenger clock even starts.","A holiday disrupted in July can come back as a claim any time in six years, and it usually comes back with the whole itinerary attached.","it's about the note I sent on the three hour mark, and what one delay does to a whole holiday","Hi Matt, it's Jack Ohagan. One late aircraft on a holiday operation isn't one problem, it's a transfer, a hotel night and a first day gone, all landing on the same contact team at once. How do your teams flex when a single rotation takes out a whole day of itineraries?",PASS (opener inverted v1.2),airlines-v1.2
Emerald Airlines,emeraldairlines.com,COO/Ops Dir,Richard Spencer,Chief Operating Officer,https://www.linkedin.com/in/richard-spencer-70686966/,Ireland,2024-01-01,,,NOT LOADED - pending DNC gate,,,,,,
Emerald Airlines,emeraldairlines.com,COO/Ops Dir,Terry Chapman,Head of Operations,https://www.linkedin.com/in/terry-chapman-98393b91/,Ireland,2024-09-01,,,NOT LOADED - pending DNC gate,,,,,,
Emerald Airlines,emeraldairlines.com,Ground/Airport Ops,John Dillon,Head of OCC & Ground Operations,https://www.linkedin.com/in/john-dillon-87903110a/,United Kingdom,2025-10-01,,,NOT LOADED - pending DNC gate,,,,,,
Emerald Airlines,emeraldairlines.com,Ground/Airport Ops,Dean M.,Deputy Head of OCC&Ground Operations,https://www.linkedin.com/in/dean-m-60a425193/,Ireland,2026-04-01,,,NOT LOADED - pending DNC gate,,,,,,
Loganair,loganair.co.uk,COO/Ops Dir,Samantha Clark,Director of Operations,https://www.linkedin.com/in/samantha-clark-54258991/,United Kingdom,2025-03-01,,,NOT LOADED - pending DNC gate,,,,,,
Loganair,loganair.co.uk,COO/Ops Dir,Natalie Bush,Chief Operating Officer and Accountable Manager,https://www.linkedin.com/in/natalie-bush-464962168/,United Kingdom,2024-11-01,,,NOT LOADED - pending DNC gate,,,,,,
Loganair,loganair.co.uk,COO/Ops Dir,Hayley Quinn,Head of Operations Projects | Business Transformation,https://www.linkedin.com/in/hayley-quinn-266ab665/,United Kingdom,2025-09-01,,,NOT LOADED - pending DNC gate,,,,,,
Menzies Aviation,menziesaviation.com,COO/Ops Dir,Daniel Durkiewicz,Head of Operations,https://www.linkedin.com/in/daniel-durkiewicz-1b352880/,United Kingdom,2024-07-01,,,NOT LOADED - pending DNC gate,,,,,,
Menzies Aviation,menziesaviation.com,Cust Operations/CX,Hayley Bailey,Head of Customer Service,https://www.linkedin.com/in/hayley-bailey-ab76a3290/,United Kingdom,2018-03-01,,,NOT LOADED - pending DNC gate,,,,,,
Menzies Aviation,menziesaviation.com,Ground/Airport Ops,Luke Tanner fCMgr,Head of Ground Operations LHR,https://www.linkedin.com/in/luke-tanner-fcmgr-56583397/,United Kingdom,2026-01-01,,,NOT LOADED - pending DNC gate,,,,,,
Ryanair,ryanair.com,COO/Ops Dir,Colm Judge,Head of Operations Recruitment,https://www.linkedin.com/in/colmjudge/,Ireland,2026-04-01,,,NOT LOADED - pending DNC gate,,,,,,
Swissport,swissport.com,COO/Ops Dir,David Lawrenson MRAeS,"Chief Operating Officer - Ground Handling, UK&I",https://www.linkedin.com/in/david-lawrenson-mraes-5444551a6/,United Kingdom,2025-07-01,,,NOT LOADED - pending DNC gate,,,,,,
Swissport,swissport.com,COO/Ops Dir,Joe Bellfield,Chief Operating Officer - Cargo UKI,https://www.linkedin.com/in/joe-bellfield-10b072112/,United Kingdom,2024-10-01,,,NOT LOADED - pending DNC gate,,,,,,
Swissport,swissport.com,COO/Ops Dir,William Ring,Regional Operations Director,https://www.linkedin.com/in/william-ring-98667830/,United Kingdom,2025-04-01,,,NOT LOADED - pending DNC gate,,,,,,
Swissport,swissport.com,COO/Ops Dir,Mark Collings,Head of Operations,https://www.linkedin.com/in/mark-collings-a12793133/,United Kingdom,2024-01-01,,,NOT LOADED - pending DNC gate,,,,,,
Swissport,swissport.com,COO/Ops Dir,Tracy McShane,Head of Operations LGW,https://www.linkedin.com/in/tracy-mcshane-5b62139a/,United Kingdom,2025-08-01,,,NOT LOADED - pending DNC gate,,,,,,
Swissport,swissport.com,COO/Ops Dir,Ben Murgatroyd,Regional Operations Director,https://www.linkedin.com/in/ben-murgatroyd-3ba14014b/,United Kingdom,2023-06-01,,,NOT LOADED - pending DNC gate,,,,,,
Swissport,swissport.com,COO/Ops Dir,Alex Dunn,Head of Operations LBA & HUY,https://www.linkedin.com/in/alex-dunn-42a6b2161/,United Kingdom,2025-05-01,,,NOT LOADED - pending DNC gate,,,,,,
Swissport,swissport.com,Cust Operations/CX,Michael Mazonowicz,Head of Customer Service,https://www.linkedin.com/in/michael-mazonowicz-824b1bb1/,United Kingdom,2024-07-01,,,NOT LOADED - pending DNC gate,,,,,,
Swissport,swissport.com,Cust Operations/CX,Kelly Farnell,Head of Customer Service,https://www.linkedin.com/in/kelly-farnell-619085246/,United Kingdom,2024-04-01,,,NOT LOADED - pending DNC gate,,,,,,
Swissport,swissport.com,Ground/Airport Ops,Callum B.,Operations Director - Ground Handling and UK Fuels,https://www.linkedin.com/in/callumblance/,United Kingdom,2026-01-01,,,NOT LOADED - pending DNC gate,,,,,,
Swissport,swissport.com,Ground/Airport Ops,Terry Ramage,Director of Ground Handling Operations UK & IRE Business Unit 1,https://www.linkedin.com/in/terry-ramage-56349420/,United Kingdom,2022-07-01,,,NOT LOADED - pending DNC gate,,,,,,
Swissport,swissport.com,Ground/Airport Ops,Sarah Hardy,Operations Director - Ground Handling,https://www.linkedin.com/in/sarah-hardy-1676ab4a/,United Kingdom,2026-01-01,,,NOT LOADED - pending DNC gate,,,,,,
Wizz Air UK,wizzair.com,COO/Ops Dir,Philip Cullen FRAeS,Head of Operations & Accountable Manager,https://www.linkedin.com/in/philip-cullen-fraes-2b374722/,United Kingdom,2023-06-01,,,NOT LOADED - pending DNC gate,,,,,,
Wizz Air UK,wizzair.com,COO/Ops Dir,Diarmuid O'Conghaile,Group Chief Operations Officer,https://www.linkedin.com/in/diarmuid-o-conghaile-84232513a/,Ireland,2024-10-01,,,NOT LOADED - pending DNC gate,,,,,,
dnata,dnata.com,COO/Ops Dir,Stacey Shortall,Chief Operating Officer,https://www.linkedin.com/in/stacey-shortall-528b2616/,United Kingdom,2020-11-01,,,NOT LOADED - pending DNC gate,,,,,,
dnata,dnata.com,COO/Ops Dir,Chris Berry,Regional Director of Operations,https://www.linkedin.com/in/chrisberry1985/,United Kingdom,2024-01-01,,,NOT LOADED - pending DNC gate,,,,,,
dnata,dnata.com,COO/Ops Dir,Luke Armitage,Operations Director North,https://www.linkedin.com/in/luke-armitage-b37b37119/,United Kingdom,2026-01-01,,,NOT LOADED - pending DNC gate,,,,,,
dnata,dnata.com,COO/Ops Dir,Mick Southall,Operations Director - Cargo UK,https://www.linkedin.com/in/mick-southall-43366b49/,United Kingdom,2022-05-01,,,NOT LOADED - pending DNC gate,,,,,,
dnata,dnata.com,COO/Ops Dir,Mark Owen,Chief Operations Officer,https://www.linkedin.com/in/mark-owen-6bbbab4b/,United Kingdom,2023-10-01,,,NOT LOADED - pending DNC gate,,,,,,
dnata,dnata.com,COO/Ops Dir,Tim Mayes,Regional Director of Operations,https://www.linkedin.com/in/tim-mayes-1ab16721/,United Kingdom,2025-01-01,,,NOT LOADED - pending DNC gate,,,,,,
dnata,dnata.com,COO/Ops Dir,Ben Goulden,Head of Operations,https://www.linkedin.com/in/ben-goulden-7407a414b/,United Kingdom,2026-06-01,,,NOT LOADED - pending DNC gate,,,,,,
dnata,dnata.com,COO/Ops Dir,Ben Melville,Head of Operations - easyJet Inflight Retail,https://www.linkedin.com/in/ben-melville-b056543b/,United Kingdom,2026-04-01,,,NOT LOADED - pending DNC gate,,,,,,
dnata,dnata.com,Resource Planning/WFM,Pippa Kavaney,Head of Resource Planning UK,https://www.linkedin.com/in/pippa-kavaney-1687b078/,United Kingdom,2023-01-01,,,NOT LOADED - pending DNC gate,,,,,,
