company,domain,industry,icp_fit,employees,estate,verint_products_dated,nice_products_dated,wfm_latest,cc_latest,vito_in_dwo_pool,vito_names,evidence_tier,sku_signal,sku_signal_source,sku_signal_date,nice_use_tag,rep_confirmed,flag
Corpay (formerly FLEETCOR),fleetcor.com,Software,outside six verticals,9900,both,Verint Workforce Management (2020-09-16),NICE CXone (2024-11-14); NICE inContact (2025-01-22),Verint,NICE,0,,B,"NICE case-study index: Corpay, AI analytics-driven resolution for travel support",https://www.nice.com/resources?types=case-studies,2025-26 index,"vendor confirmed, desktop module not named",,
Pella Corporation,pella.com,Manufacturing,outside six verticals,9502,nice,,NICE inContact (2023-12-07),Calabrio,NICE,0,,D,,,,"bundled, no evidence of use",,
Uline,uline.com,Manufacturing,outside six verticals,9000,nice,,Nice Workforce Management (2026-02-10),NICE,Avaya,0,,D,,,,"bundled, no evidence of use",,
Nelnet,nelnetinc.com,Software,outside six verticals,8237,nice,,NICE CXone (2025-09-24); NICE inContact (2025-09-24),,NICE,0,,D,,,,"bundled, no evidence of use",,
Diamond Resorts International,diamondresorts.com,Hospitality,outside six verticals,7184,nice,,Nice Workforce Management (2024-11-16),NICE,RingCentral,0,,D,,,,"bundled, no evidence of use",,
Sony Interactive Entertainment America LLC,playstation.com,Manufacturing,outside six verticals,6000,nice,,NICE inContact (2024-03-07),,NICE,0,,D,,,,"bundled, no evidence of use",,
LanguageLine Solutions,languageline.com,Other,outside six verticals,6000,nice,,NICE CXone (2024-11-21),,NICE,0,,D,,,,"bundled, no evidence of use",,
Shellpoint Mortgage Servicing,shellpointmtg.com,,outside six verticals,5000,nice,,NICE inContact (2025-01-31),,RingCentral,0,,D,,,,"bundled, no evidence of use",,
Konica Minolta Business Solutions,konicaminolta.us,Technology,outside six verticals,5000,nice,,NICE inContact (2024-01-29),,NICE,0,,D,,,,"bundled, no evidence of use",,
Extra Space Storage,extraspace.com,Consumer Services,outside six verticals,4781,nice,,NICE inContact (2025-06-17),Aspect,Five9,2,Grace Kunde (Chief Accounting Officer (CAO)); Matthew Herrington (Executive Vice President of Operations / COO),D,,,,"bundled, no evidence of use",,
Beachbody,beachbody.com,Hospitality,outside six verticals,4491,nice,,NICE inContact (2021-09-07),,NICE,0,,D,,,,"bundled, no evidence of use",,
Rotech Healthcare,rotech.com,Manufacturing,outside six verticals,3668,nice,,NICE CXone (2026-08-14); NICE inContact (2026-04-15),,NICE,0,,D,,,,"bundled, no evidence of use",,
Sharecare,sharecare.com,Software,outside six verticals,3485,nice,,NICE inContact (2026-07-17),,NICE,0,,D,,,,"bundled, no evidence of use",,
TripAdvisor,tripadvisor.com,Hospitality,outside six verticals,3112,nice,,NICE inContact (2022-01-05),,NICE,0,,D,,,,"bundled, no evidence of use",,
La Quinta by Wyndham,wyndhamhotels.com,Hospitality,outside six verticals,2500,nice,,NICE CXone (2021-11-25),,Five9,0,,D,,,,"bundled, no evidence of use",,
CCC Intelligent Solutions,cccis.com,Business Services,outside six verticals,2375,nice,,NICE CXone (2026-07-08); NICE inContact (2021-09-06),,Amazon Connect,0,,D,,,,"bundled, no evidence of use",,
HP,hp.com,Technology,outside six verticals,2000,nice,,NICE inContact (2024-10-25),,Avaya,0,,D,,,,"bundled, no evidence of use",,
Scansource,scansource.com,Technology,outside six verticals,1400,nice,,NICE CXone (2026-02-05),,Avaya,0,,D,,,,"bundled, no evidence of use",,
SimpliSafe,simplisafe.com,Business Services,outside six verticals,1200,nice,,Nice Workforce Management (2025-08-27),NICE,Genesys,0,,D,,,,"bundled, no evidence of use",,
Automated Health Systems (AHS),automated-health.com,Business Services,outside six verticals,1000,nice,,NICE inContact (2022-09-30),Calabrio,Genesys,0,,D,,,,"bundled, no evidence of use",,
Support.com,support.com,Other,outside six verticals,877,nice,,NICE CXone (2020-12-10),,NICE,0,,D,,,,"bundled, no evidence of use",,
Egencia,egain.com,Business Services,outside six verticals,700,nice,,NICE CXone (2026-07-28); NICE inContact (2024-07-25),,Five9,0,,D,,,,"bundled, no evidence of use",,
Moxie Pest Control,moxieservices.com,Consumer Services,outside six verticals,527,nice,,Nice Workforce Management (2026-09-04),NICE,,1,Daniel Headrick (Chief Operating Officer),D,,,,"bundled, no evidence of use",,
"EdFinancial Services, LLC",edfinancial.com,Fin Services,outside six verticals,320,nice,,NICE CXone (2024-11-24),,NICE,0,,D,,,,"bundled, no evidence of use",,
Lutron Electronics,lutron.com,Manufacturing,outside six verticals,250,nice,,NICE inContact (2026-08-30),,NICE,0,,D,,,,"bundled, no evidence of use",,
World Travel Holdings,worldtravelholdings.com,Hospitality,outside six verticals,56,nice,,NICE CXone (2024-11-22),Aspect,NICE,2,"Jamie Cash (Chief Operating Officer, Luxury Travel Holdings & Cruiseline.com); Debbie Fiorino (Chief Operating Officer, Dream Vacations & CruiseOne)",D,,,,"bundled, no evidence of use",,
USAN,usan.com,Systems Integrator,outside six verticals,0,nice,,NICE CXone (2026-06-08); NICE inContact (2026-06-09),,Amazon Connect,0,,D,,,,"bundled, no evidence of use",,
