domain,company,industry,employees,agent_count,acd,acd_source,acd_observed,wfm,wfm_source,wfm_observed,source,sf_owner_id,sixsense_stage,sixsense_intent,heat_lane,heat_score
ebay.com,eBay (UK),Other,11600,700,Genesys,predictleads:https://www.genesys.com,2026-08-26,Unknown,,,"employees 11,600 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 700 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000002ZZTFIA4,Consideration,51,,
emblemhealth.com,Emblem Health,Insurance,4610,500,Avaya,predictleads:https://www.avaya.com,2026-07-10,Unknown,,,"employees 4,610 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 500 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gAGQIA2,Decision,81,,
enbridge.com,Enbridge,Other,11100,700,Genesys,predictleads:https://www.genesys.com,2025-08-13,Unknown,,,"employees 11,100 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 700 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000006tDZ3IAM,Consideration,52,,
ericsson.com,Ericsson,Other,101351,6100,Avaya,predictleads:https://www.avaya.com,2025-10-23,Unknown,,,"employees 101,351 per the Clay Audiences company record (employee_count, record updated 2026-09-08, read 2026-09-13); no filing-grade fact on file. agent_count 6,100 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gBKBIA2,Purchase,93,,
experian.com,Experian US,Financial Services,21700,2200,Five9,predictleads:https://www.five9.com,2026-05-28,Unknown,,,"employees 21,700 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 2,200 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gAGUIA2,Decision,75,,
express-scripts.com,Express Scripts,Health Insurance,25900,3900,Genesys,predictleads:https://www.genesys.com,2022-07-18,Verint,predictleads:https://www.verint.com,2023-08-24,"employees 25,900 per the Clay Audiences company record (employee_count, record updated 2026-09-12, read 2026-09-13); no filing-grade fact on file. agent_count 3,900 is a banded ESTIMATE, not a disclosed figure: employees x 0.15 (Health Insurance); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gA77IAE,Decision,72,,
fairview.org,Fairview Health Services,Healthcare Services,36000,1800,Amazon Connect,predictleads:https://aws.amazon.com/connect/,2023-02-18,Unknown,,,"employees 36,000 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 1,800 is a banded ESTIMATE, not a disclosed figure: employees x 0.05 (Healthcare Services); scale band robust at +/-30% (12 vs 12 pts).",005V5000001gAGSIA2,Purchase,86,,
fidelity.com,Fidelity Investments (FMR LLC),Financial Services,80000,8000,Genesys,predictleads:https://www.genesys.com,2026-02-26,Unknown,,,"employees 80,000 as of 2026 per https://about.fidelity.com/ (""we employ over 80,000 associates across 11 countries, 14 global regional sites, and 215 Investor Centers"", facts_updated 2026-09-11). agent_count 8,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (22 vs 25 pts). Note: Company page figure is undated (fetched 2026-09-11); Boston Globe 2026-05-07 corroborates about 80,000 and reports roughly 1,000 cuts plus about 3,300 planned 2026 hires, outside the trigger window; the Aug 4 2026 Q2 update carries a proud 96% CSAT line for Fidelity Medicare Services.",005V5000001gAGSIA2,Decision,84,,
firstam.com,First American,Financial Services,21153,2100,Five9,predictleads:https://www.five9.com,2026-06-24,Calabrio,predictleads:https://www.calabrio.com,2025-03-18,"employees 21,153 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 2,100 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gBKBIA2,Purchase,89,,
flagstar.com,"Flagstar Bancorp, Inc.",Banking,7497,600,Unknown,,,Unknown,,,"employees 7,497 per the Clay Audiences company record (employee_count, record updated 2026-09-12, read 2026-09-13); no filing-grade fact on file. agent_count 600 is a banded ESTIMATE, not a disclosed figure: employees x 0.08 (Banking); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gBKBIA2,Decision,77,,
ford.com,Ford Motor Credit,Banking,173000,13800,NICE,predictleads:https://www.nice.com,2026-07-21,Unknown,,,"employees 173,000 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 13,800 is a banded ESTIMATE, not a disclosed figure: employees x 0.08 (Banking); scale band SENSITIVE at +/-30% (22 vs 25 pts).",005V5000006tDZ3IAM,Decision,85,,
fpl.com,Florida Power & Light Company,Other,9300,600,Unknown,,,Unknown,,,"employees 9,300 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 600 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gAGSIA2,Consideration,66,,
franklintempleton.com,Franklin Templeton Investments,Financial Services,9300,900,Genesys,predictleads:https://www.genesys.com,2025-12-09,Unknown,,,"employees 9,300 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 900 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gAGUIA2,Decision,80,,
freddiemac.com,Freddie Mac,Financial Services,7799,800,NICE,predictleads:https://www.nice.com,2020-11-12,Unknown,,,"employees 7,799 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 800 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gBKBIA2,Decision,76,,
fredloya.com,Fred Loya Insurance,Insurance,3500,400,Unknown,,,Unknown,,,"employees 3,500 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 400 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gBKBIA2,Consideration,62,,
gap.com,"Gap, Inc",Other,95000,5700,Unknown,,,Unknown,,,"employees 95,000 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 5,700 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gAGRIA2,Decision,83,,
ge.com,GE Capital,Banking,172000,13800,Unknown,,,Unknown,,,"employees 172,000 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 13,800 is a banded ESTIMATE, not a disclosed figure: employees x 0.08 (Banking); scale band SENSITIVE at +/-30% (22 vs 25 pts).",005V5000001gAGQIA2,Purchase,90,,
geico.com,GEICO,Insurance,43000,4300,Unknown,,,Unknown,,,"employees 43,000 per the Clay Audiences company record (employee_count, record updated 2026-09-08, read 2026-09-13); no filing-grade fact on file. agent_count 4,300 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gAGQIA2,Consideration,66,,
grainger.com,W.W. Grainger (aka Grainger),Other,23200,1400,Amazon Connect,predictleads:https://aws.amazon.com/connect/,2026-06-29,Verint,predictleads:https://www.verint.com,2025-02-11,"employees 23,200 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 1,400 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gAGWIA2,Consideration,63,,
greatamericaninsurancegroup.com,Great American Insurance Group,Insurance,7000,700,Unknown,,,Unknown,,,"employees 7,000 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 700 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gBKBIA2,Purchase,94,,
hbc.com,Hudson's Bay Company,Other,22000,1300,Avaya,predictleads:https://www.avaya.com,2021-06-10,Unknown,,,"employees 22,000 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 1,300 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gBKBIA2,Consideration,56,,
hcahealthcare.com,HCA Healthcare,Healthcare Services,207000,10400,Genesys,predictleads:https://www.genesys.com,2026-07-10,Unknown,,,"employees 207,000 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 10,400 is a banded ESTIMATE, not a disclosed figure: employees x 0.05 (Healthcare Services); scale band SENSITIVE at +/-30% (22 vs 25 pts).",005V5000006tDZ3IAM,Purchase,88,,
highmark.com,Highmark,Health Insurance,18000,2700,Unknown,,,Unknown,,,"employees 18,000 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 2,700 is a banded ESTIMATE, not a disclosed figure: employees x 0.15 (Health Insurance); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gBKBIA2,Consideration,64,,
huntington.com,Huntington National Bank,Banking,20198,1600,Genesys,predictleads:https://www.genesys.com,2026-02-22,Unknown,,,"employees 20,198 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 1,600 is a banded ESTIMATE, not a disclosed figure: employees x 0.08 (Banking); scale band robust at +/-30% (12 vs 12 pts).",005V5000001gAGQIA2,Consideration,63,,
ibx.com,Independence Blue Cross,Insurance,1200,100,Avaya,predictleads:https://www.avaya.com,2026-08-05,Unknown,,,"employees 1,200 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 100 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gAGWIA2,Decision,77,,
iehp.org,Inland Empire Health Plan,Health Insurance,3800,600,Unknown,,,Verint,predictleads:https://www.verint.com,2023-04-28,"employees 3,800 as of 2026-07-27 per https://www.iehp.org/en/our-organization/newsroom/newsroom-archive/2026/iehp-to-enter-fourth-year-on-covered-california (""nearly 3,800 team members who are fully committed to the vision"", facts_updated 2026-09-11). agent_count 600 is a banded ESTIMATE, not a disclosed figure: employees x 0.15 (Health Insurance); scale band robust at +/-30% (5 vs 5 pts). Note: Verint WFM shop per an Apr 2025 governing board packet (license extended through Apr 14 2027, PDF not parsed, not claimed as a trigger); a Workforce Management Intraday Specialist posting exists without scale, so no wfm_hiring trigger.",005V5000001gBKBIA2,Awareness,46,,
iuhealth.org,Indiana University Health (Clarian),Healthcare Services,38079,1900,Five9,predictleads:https://www.five9.com,2026-05-09,Unknown,,,"employees 38,079 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 1,900 is a banded ESTIMATE, not a disclosed figure: employees x 0.05 (Healthcare Services); scale band robust at +/-30% (12 vs 12 pts).",005V5000001gBKBIA2,Consideration,63,,
joann.com,Jo-Ann Stores,Other,5000,300,Unknown,,,Unknown,,,"employees 5,000 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 300 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gBKBIA2,Purchase,91,,
johnhancock.com,John Hancock Financial,Financial Services,6700,700,Unknown,,,Unknown,,,"employees 6,700 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 700 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gAGQIA2,Consideration,60,,
kohls.com,Kohl's,Other,97000,5800,Unknown,,,Unknown,,,"employees 97,000 per the Clay Audiences company record (employee_count, record updated 2026-09-12, read 2026-09-13); no filing-grade fact on file. agent_count 5,800 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gAGWIA2,Consideration,54,,
labcorp.com,LabCorp,Healthcare Services,60000,3000,Five9,predictleads:https://www.five9.com,2026-04-12,Unknown,,,"employees 60,000 per the Clay Audiences company record (employee_count, record updated 2026-09-08, read 2026-09-13); no filing-grade fact on file. agent_count 3,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.05 (Healthcare Services); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000006tDZ3IAM,Purchase,86,,
ladwp.com,City of Los Angeles - Los Angeles Department of Water and Power,Other,11000,700,Unknown,,,Unknown,,,"employees 11,000 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 700 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gBKBIA2,Consideration,58,,
level3.com,Level 3 Communications,Other,12501,800,Unknown,,,Unknown,,,"employees 12,501 per the Clay Audiences company record (employee_count, record updated 2026-09-12, read 2026-09-13); no filing-grade fact on file. agent_count 800 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gBKBIA2,Consideration,57,,
libertymutual.com,Liberty Mutual Group,Insurance,50000,5000,Talkdesk,predictleads:https://www.talkdesk.com,2026-06-06,Unknown,,,"employees 50,000 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 5,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gBKBIA2,Purchase,94,,
libertymutual.com,Liberty Mutual Claims,Insurance,18000,1800,Talkdesk,predictleads:https://www.talkdesk.com,2026-06-06,Unknown,,,"employees 18,000 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 1,800 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band robust at +/-30% (12 vs 12 pts).",005V5000001gBKBIA2,Purchase,94,,
lincolnfinancial.com,Lincoln Financial Group (Lincoln National Corporation),Insurance,9423,900,Five9,predictleads:https://www.five9.com,2026-04-14,Unknown,,,"employees 9,423 as of 2025-12-31 per https://stockanalysis.com/stocks/lnc/employees/ (""Lincoln National had 9,423 employees as of December 31, 2025."", facts_updated 2026-09-11). agent_count 900 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Insurance); scale band SENSITIVE at +/-30% (5 vs 12 pts). Note: Headcount from a filing-derived tracker (FY2025 10-K rendered as XBRL only); Brian Kroll and CRO Andy Rallis left in June 2026 per Insurance Business; a Fort Wayne Workforce Management Analyst posting referenced Verint per the search index only, treat Verint use as [UNVERIFIED].",005V5000001gAGSIA2,Decision,84,,
lowes.com,Lowe's,Other,300000,18000,Unknown,,,Unknown,,,"employees 300,000 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 18,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (25 vs 25 pts).",005V5000004XWIAIA4,Decision,70,,
lpl.com,LPL Financial,Financial Services,7291,700,Unknown,,,Calabrio,predictleads:https://www.calabrio.com,2026-09-02,"employees 7,291 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 700 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gBKBIA2,Purchase,94,,
lumen.com,Lumen Technologies (formerly CenturyLink),Other,30000,1800,Genesys,predictleads:https://www.genesys.com,2025-11-06,Unknown,,,"employees 30,000 per the Clay Audiences company record (employee_count, record updated 2026-09-12, read 2026-09-13); no filing-grade fact on file. agent_count 1,800 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (12 vs 12 pts).",005V5000001gAGTIA2,Consideration,57,,
manulife.com,Manulife Financial Corporation,Financial Services,40000,4000,Genesys,predictleads:https://www.genesys.com,2026-01-01,Verint,predictleads:https://www.verint.com,2025-11-29,"employees 40,000 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 4,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V5000001gAGQIA2,Decision,75,,
marykay.com,Mary Kay Inc.,Other,5000,300,RingCentral,predictleads:https://www.ringcentral.com,2026-07-10,Unknown,,,"employees 5,000 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 300 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gBKBIA2,Decision,75,,
massmutual.com,Massachusetts Mutual Life Insurance Company (MassMutual),Financial Services,6000,600,Talkdesk,predictleads:https://www.talkdesk.com,2023-02-06,Unknown,,,"employees 6,000 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 600 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gAGSIA2,Decision,84,,
mckesson.com,McKesson Inc,Healthcare Services,80000,4000,Genesys,predictleads:https://www.genesys.com,2026-07-31,Unknown,,,"employees 80,000 per the Clay Audiences company record (employee_count, record updated 2026-09-12, read 2026-09-13); no filing-grade fact on file. agent_count 4,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.05 (Healthcare Services); scale band SENSITIVE at +/-30% (18 vs 22 pts).",005V500000GElNdIAL,Decision,84,,
medica.com,Medica,Health Insurance,3000,400,Five9,predictleads:https://www.five9.com,2026-04-17,Unknown,,,"employees 3,000 as of 2023-11 per https://finance.yahoo.com/news/minnetonka-based-medica-lays-off-212200758.html (""In November, Medica was employing about 3,000 people."", facts_updated 2026-09-11). agent_count 400 is a banded ESTIMATE, not a disclosed figure: employees x 0.15 (Health Insurance); scale band robust at +/-30% (5 vs 5 pts). Note: Employee count is STALE and pre-UCare (Star Tribune via Yahoo, Nov 2023); about 650 UCare staff were expected to be offered Medica roles in early 2026 and Revelio Labs shows 5,163 as of Mar 2026, both [UNVERIFIED]; medica.com blocks fetching.",005V5000006tDZ3IAM,Consideration,56,,
michaels.com,Michaels Stores Inc.,Other,50000,3000,Unknown,,,Unknown,,,"employees 50,000 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 3,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gBKBIA2,Purchase,91,,
modivcare.com,Modivcare (formerly Logisticare),Healthcare Services,17500,900,Genesys,predictleads:https://www.genesys.com,2026-06-09,Unknown,,,"employees 17,500 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 900 is a banded ESTIMATE, not a disclosed figure: employees x 0.05 (Healthcare Services); scale band SENSITIVE at +/-30% (5 vs 12 pts).",005V5000001gBKBIA2,Consideration,64,,
morganstanley.com,Morgan Stanley,Financial Services,82000,8200,Genesys,predictleads:https://www.genesys.com,2026-05-24,Unknown,,,"employees 82,000 per the Clay Audiences company record (employee_count, record updated 2026-09-10, read 2026-09-13); no filing-grade fact on file. agent_count 8,200 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (22 vs 25 pts).",005V5000004XWIAIA4,Decision,70,,
mtb.com,M&T Bank Corporation,Banking,22424,1800,Genesys,predictleads:https://www.genesys.com,2026-08-06,Unknown,,,"employees 22,424 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 1,800 is a banded ESTIMATE, not a disclosed figure: employees x 0.08 (Banking); scale band robust at +/-30% (12 vs 12 pts).",005V5000001gAGSIA2,Decision,84,,
nab.com.au,National Australia Bank,Banking,35000,2800,Amazon Connect,predictleads:https://aws.amazon.com/connect/,2024-12-05,Unknown,,,"employees 35,000 per the Clay Audiences company record (employee_count, record updated 2026-09-12, read 2026-09-13); no filing-grade fact on file. agent_count 2,800 is a banded ESTIMATE, not a disclosed figure: employees x 0.08 (Banking); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gA6IIAU,Consideration,65,,
nationalgrid.com,National Grid plc,Other,33026,1700,Unknown,,,Calabrio,predictleads:https://www.calabrio.com,2024-11-17,"employees 33,026 as of 2026-03-31 per https://www.sec.gov/Archives/edgar/data/1004315/000100431526000006/R93.htm (""Number of employees, year end, Mar. 31, 2026: Total 33,026; UK 14,554; US 18,472."", facts_updated 2026-09-11). agent_count 1,700 is a banded ESTIMATE, not a disclosed figure: employees x 0.05 (Other); scale band robust at +/-30% (12 vs 12 pts). Note: US business headcount is 18,472 in the same 20-F note (FY to 31 Mar 2026, filed 2026-06-03); the wfm_hiring trigger is dated by live verification because the posting shows no date; a Syracuse Customer Service Rep 2 class starts 2026-11-16 in a 24/7 union contact center; KEDLI ($1.72M) and KEDNY ($5.31M) also missed Call Answer Rate targets.",005V5000002ZZTFIA4,Decision,75,,
navyfederal.org,Navy Federal Credit Union,Financial Services,21442,2100,Unknown,,,Verint,predictleads:https://www.verint.com,2026-02-05,"employees 21,442 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 2,100 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gAGQIA2,Decision,81,,
nbc.ca,National Bank of Canada,Financial Services,28901,2900,Genesys,predictleads:https://www.genesys.com,2026-04-26,Unknown,,,"employees 28,901 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 2,900 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000004XWIAIA4,Consideration,57,,
newbalance.com,"New Balance, Inc.",Other,4000,200,Unknown,,,Unknown,,,"employees 4,000 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 200 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gBKBIA2,Consideration,59,,
newyorklife.com,New York Life Insurance Company,Financial Services,15050,1500,Avaya,predictleads:https://www.avaya.com,2023-05-02,Verint,predictleads:https://www.verint.com,2022-03-01,"employees 15,050 per the Clay Audiences company record (employee_count, record updated 2026-09-08, read 2026-09-13); no filing-grade fact on file. agent_count 1,500 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band robust at +/-30% (12 vs 12 pts).",005V5000001gAGSIA2,Decision,82,,
nrg.com,"NRG Energy, Inc.",Other,6603,400,Amazon Connect,predictleads:https://aws.amazon.com/connect/,2026-05-31,Calabrio,predictleads:https://www.calabrio.com,2022-12-07,"employees 6,603 per the Clay Audiences company record (employee_count, record updated 2026-09-11, read 2026-09-13); no filing-grade fact on file. agent_count 400 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gAGTIA2,Decision,85,,
nyulangone.org,NYU Langone Health,Healthcare Services,46000,2300,Avaya,predictleads:https://www.avaya.com,2025-04-15,Unknown,,,"employees 46,000 per the Clay Audiences company record (employee_count, record updated 2026-09-08, read 2026-09-13); no filing-grade fact on file. agent_count 2,300 is a banded ESTIMATE, not a disclosed figure: employees x 0.05 (Healthcare Services); scale band SENSITIVE at +/-30% (12 vs 18 pts).",005V5000001gBKBIA2,Decision,85,,
officedepot.com,Office Depot,Other,25000,1500,Unknown,,,Unknown,,,"employees 25,000 per the Clay Audiences company record (employee_count, record updated 2026-09-09, read 2026-09-13); no filing-grade fact on file. agent_count 1,500 is a banded ESTIMATE, not a disclosed figure: employees x 0.06 (Other); scale band robust at +/-30% (12 vs 12 pts).",005V5000001gAGUIA2,Consideration,59,,
onemainfinancial.com,OneMain Financial,Banking,9200,700,Amazon Connect,predictleads:https://aws.amazon.com/connect/,2026-01-05,Aspect,predictleads:https://www.alvaria.com,2026-06-17,"employees 9,200 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 700 is a banded ESTIMATE, not a disclosed figure: employees x 0.08 (Banking); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gAGWIA2,Decision,72,,
optum.com,Optum360,Health Insurance,100000,15000,NICE,predictleads:https://www.nice.com,2026-08-23,Calabrio,predictleads:https://www.calabrio.com,2026-07-26,"employees 100,000 per the Clay Audiences company record (employee_count, record updated 2026-09-12, read 2026-09-13); no filing-grade fact on file. agent_count 15,000 is a banded ESTIMATE, not a disclosed figure: employees x 0.15 (Health Insurance); scale band robust at +/-30% (25 vs 25 pts).",005V5000001gA77IAE,Purchase,98,,
optumbank.com,Optum Bank,Financial Services,1119,100,Unknown,,,Unknown,,,"employees 1,119 per the Clay Audiences company record (employee_count, record updated 2026-09-12, read 2026-09-13); no filing-grade fact on file. agent_count 100 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gA77IAE,Purchase,98,,
pacificlife.com,Pacific Life Insurance Company,Financial Services,3861,400,Unknown,,,Calabrio,predictleads:https://www.calabrio.com,2022-08-08,"employees 3,861 per the Clay Audiences company record (employee_count, record updated 2026-09-13, read 2026-09-13); no filing-grade fact on file. agent_count 400 is a banded ESTIMATE, not a disclosed figure: employees x 0.10 (Financial Services); scale band robust at +/-30% (5 vs 5 pts).",005V5000001gBKBIA2,Consideration,64,,
paychex.com,"Paychex, Inc.",Other,17600,7000,Avaya,predictleads:https://www.avaya.com,2023-02-16,Calabrio,predictleads:https://www.calabrio.com,2023-07-23,"employees 17,600 as of 2026-05-31 per https://www.sec.gov/Archives/edgar/data/0000723531/000119312526307785/payx-20260531.htm (""As of May 31, 2026, we employed approximately 17,600 people, primarily in the U.S. and on a full-time basis."", facts_updated 2026-09-11). agent_count 7,000 is a PUBLIC figure: Company marketing claim on the undated paychex.com corporate headquarters page: 'With 7,000 customer support experts and over 600 HR professionals'; a marketing figure, not a filing. (https://www.paychex.com/corporate). Note: Headcount fell from about 19,000 (May 2025) to about 17,600 (May 2026) per the two 10-Ks, consistent with the Paycor synergy program; SVP Operations and Customer Experience Elizabeth Roaldsen (June 2024) remains the service leader of record.",005V5000001gAGWIA2,Consideration,54,,
